Sub_Division,YEAR,JUN,JUL,AUG,SEP,JUN-SEP,AVG_RAINFALL,YOY_CHANGE,LAG_1,LAG_2
ANDAMAN & NICOBAR ISLAND,1901,517.5,365.1,481.1,332.6,1696.3,424.07500000000005,,,
ANDAMAN & NICOBAR ISLAND,1902,537.1,228.9,753.7,666.2,2185.9,546.475,489.60000000000014,1696.3,
ANDAMAN & NICOBAR ISLAND,1903,479.9,728.4,326.7,339.0,1874.0,468.5,-311.9000000000001,2185.9,1696.3
ANDAMAN & NICOBAR ISLAND,1904,495.1,502.0,160.1,820.4,1977.6,494.4,103.59999999999991,1874.0,2185.9
ANDAMAN & NICOBAR ISLAND,1905,628.7,368.7,330.5,297.0,1624.9,406.225,-352.6999999999998,1977.6,1874.0
ANDAMAN & NICOBAR ISLAND,1906,733.3,247.7,320.5,164.3,1465.8,366.45,-159.10000000000014,1624.9,1977.6
ANDAMAN & NICOBAR ISLAND,1907,305.2,443.9,377.6,200.4,1327.1,331.775,-138.70000000000005,1465.8,1624.9
ANDAMAN & NICOBAR ISLAND,1908,693.6,481.4,699.9,428.8,2303.7,575.9250000000001,976.5999999999999,1327.1,1465.8
ANDAMAN & NICOBAR ISLAND,1910,472.7,264.3,337.4,626.6,1701.0,425.25,-602.6999999999998,2303.7,1327.1
ANDAMAN & NICOBAR ISLAND,1911,649.0,253.0,187.1,464.5,1553.6,388.4,-147.4000000000001,1701.0,2303.7
ANDAMAN & NICOBAR ISLAND,1912,549.8,468.9,370.3,386.2,1775.2,443.8,221.60000000000014,1553.6,1701.0
ANDAMAN & NICOBAR ISLAND,1913,530.0,280.8,205.8,580.1,1596.7,399.17499999999995,-178.5,1775.2,1553.6
ANDAMAN & NICOBAR ISLAND,1914,383.3,792.8,520.5,310.8,2007.4,501.84999999999997,410.70000000000005,1596.7,1775.2
ANDAMAN & NICOBAR ISLAND,1915,334.7,269.0,317.2,429.8,1350.7,337.675,-656.7,2007.4,1596.7
ANDAMAN & NICOBAR ISLAND,1916,450.1,317.3,425.0,561.2,1753.6,438.40000000000003,402.89999999999986,1350.7,2007.4
ANDAMAN & NICOBAR ISLAND,1917,301.1,394.8,437.4,471.8,1605.1,401.27500000000003,-148.5,1753.6,1350.7
ANDAMAN & NICOBAR ISLAND,1918,710.8,200.9,455.4,303.3,1670.4,417.59999999999997,65.30000000000018,1605.1,1753.6
ANDAMAN & NICOBAR ISLAND,1919,542.5,246.5,259.8,170.7,1219.5,304.875,-450.9000000000001,1670.4,1605.1
ANDAMAN & NICOBAR ISLAND,1920,546.9,294.4,467.4,505.4,1814.1,453.525,594.5999999999999,1219.5,1670.4
ANDAMAN & NICOBAR ISLAND,1921,282.7,487.1,330.0,581.2,1681.0,420.25,-133.0999999999999,1814.1,1219.5
ANDAMAN & NICOBAR ISLAND,1922,506.1,425.8,307.4,511.7,1751.0,437.75000000000006,70.0,1681.0,1814.1
ANDAMAN & NICOBAR ISLAND,1923,808.4,636.9,182.2,560.5,2188.0,547.0,437.0,1751.0,1681.0
ANDAMAN & NICOBAR ISLAND,1924,261.2,493.3,290.9,251.2,1296.6,324.15000000000003,-891.4000000000001,2188.0,1751.0
ANDAMAN & NICOBAR ISLAND,1925,663.8,241.8,278.2,201.9,1385.7,346.425,89.10000000000014,1296.6,2188.0
ANDAMAN & NICOBAR ISLAND,1926,370.0,195.3,523.7,719.3,1808.3,452.075,422.5999999999999,1385.7,1296.6
ANDAMAN & NICOBAR ISLAND,1927,433.3,195.2,370.1,126.2,1124.8,281.2,-683.5,1808.3,1385.7
ANDAMAN & NICOBAR ISLAND,1928,410.2,406.3,391.5,404.8,1612.8,403.2,488.0,1124.8,1808.3
ANDAMAN & NICOBAR ISLAND,1929,588.8,134.0,644.7,172.9,1540.4,385.1,-72.39999999999986,1612.8,1124.8
ANDAMAN & NICOBAR ISLAND,1930,533.6,317.9,446.7,677.2,1975.4,493.85,435.0,1540.4,1612.8
ANDAMAN & NICOBAR ISLAND,1931,393.5,289.3,571.0,294.4,1548.2,387.04999999999995,-427.20000000000005,1975.4,1540.4
ANDAMAN & NICOBAR ISLAND,1932,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-1648.1000000000001,1548.2,1975.4
ANDAMAN & NICOBAR ISLAND,1933,544.2,376.6,294.1,759.0,1973.9,493.475,2073.8,-99.9,1548.2
ANDAMAN & NICOBAR ISLAND,1934,708.4,323.5,924.9,761.1,2717.9,679.475,744.0,1973.9,-99.9
ANDAMAN & NICOBAR ISLAND,1935,374.1,368.7,411.6,578.9,1733.3,433.32500000000005,-984.6000000000001,2717.9,1973.9
ANDAMAN & NICOBAR ISLAND,1936,498.3,664.8,562.9,383.8,2109.8,527.45,376.5000000000002,1733.3,2717.9
ANDAMAN & NICOBAR ISLAND,1937,732.8,449.5,332.0,349.5,1863.8,465.95,-246.00000000000023,2109.8,1733.3
ANDAMAN & NICOBAR ISLAND,1938,668.6,318.2,397.1,546.7,1930.6,482.65000000000003,66.79999999999995,1863.8,2109.8
ANDAMAN & NICOBAR ISLAND,1939,541.0,335.6,202.8,512.5,1591.9,397.975,-338.6999999999998,1930.6,1863.8
ANDAMAN & NICOBAR ISLAND,1940,335.4,268.1,889.2,477.5,1970.2,492.55,378.29999999999995,1591.9,1930.6
ANDAMAN & NICOBAR ISLAND,1941,497.0,302.5,311.9,516.0,1627.4,406.85,-342.79999999999995,1970.2,1591.9
ANDAMAN & NICOBAR ISLAND,1942,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-1727.3000000000002,1627.4,1970.2
ANDAMAN & NICOBAR ISLAND,1946,535.9,189.0,367.4,478.3,1570.6,392.65,1670.5,-99.9,1627.4
ANDAMAN & NICOBAR ISLAND,1947,965.6,490.0,293.7,-99.9,-99.9,412.34999999999997,-1670.5,1570.6,-99.9
ANDAMAN & NICOBAR ISLAND,1949,658.4,743.3,404.0,627.5,2433.2,608.3,2533.1,-99.9,1570.6
ANDAMAN & NICOBAR ISLAND,1950,369.9,366.7,347.3,494.5,1578.4,394.59999999999997,-854.7999999999997,2433.2,-99.9
ANDAMAN & NICOBAR ISLAND,1951,619.9,665.3,101.3,360.9,1747.4,436.8499999999999,169.0,1578.4,2433.2
ANDAMAN & NICOBAR ISLAND,1952,657.7,385.5,541.3,240.3,1824.8,456.2,77.39999999999986,1747.4,1578.4
ANDAMAN & NICOBAR ISLAND,1953,549.9,444.4,262.8,370.1,1627.1,406.79999999999995,-197.70000000000005,1824.8,1747.4
ANDAMAN & NICOBAR ISLAND,1954,539.4,510.8,605.4,763.8,2419.4,604.8499999999999,792.3000000000002,1627.1,1824.8
ANDAMAN & NICOBAR ISLAND,1955,651.1,298.4,356.9,341.8,1648.2,412.05,-771.2,2419.4,1627.1
ANDAMAN & NICOBAR ISLAND,1956,343.1,468.4,467.7,325.1,1604.4,401.07500000000005,-43.799999999999955,1648.2,2419.4
ANDAMAN & NICOBAR ISLAND,1957,741.9,316.2,421.3,354.3,1833.6,458.42499999999995,229.19999999999982,1604.4,1648.2
ANDAMAN & NICOBAR ISLAND,1958,530.7,440.7,388.4,350.6,1710.4,427.6,-123.19999999999982,1833.6,1604.4
ANDAMAN & NICOBAR ISLAND,1959,455.7,817.1,409.2,589.6,2271.6,567.9,561.1999999999998,1710.4,1833.6
ANDAMAN & NICOBAR ISLAND,1960,541.4,308.4,270.7,442.4,1562.9,390.725,-708.6999999999998,2271.6,1710.4
ANDAMAN & NICOBAR ISLAND,1961,383.3,304.9,557.1,612.0,1857.2,464.32500000000005,294.29999999999995,1562.9,2271.6
ANDAMAN & NICOBAR ISLAND,1962,367.7,409.1,420.6,474.5,1671.9,417.975,-185.29999999999995,1857.2,1562.9
ANDAMAN & NICOBAR ISLAND,1963,434.7,303.3,601.2,614.3,1953.5,488.375,281.5999999999999,1671.9,1857.2
ANDAMAN & NICOBAR ISLAND,1964,465.3,287.3,472.1,521.2,1745.9,436.475,-207.5999999999999,1953.5,1671.9
ANDAMAN & NICOBAR ISLAND,1965,408.8,392.1,396.6,576.8,1774.3,443.575,28.399999999999864,1745.9,1953.5
ANDAMAN & NICOBAR ISLAND,1966,148.8,433.5,335.6,454.1,1372.0,343.0,-402.29999999999995,1774.3,1745.9
ANDAMAN & NICOBAR ISLAND,1967,340.8,537.8,614.2,303.5,1796.3,449.075,424.29999999999995,1372.0,1774.3
ANDAMAN & NICOBAR ISLAND,1968,545.1,519.3,242.0,496.8,1803.2,450.8,6.900000000000091,1796.3,1372.0
ANDAMAN & NICOBAR ISLAND,1969,422.8,345.2,281.4,489.7,1539.1,384.77500000000003,-264.10000000000014,1803.2,1796.3
ANDAMAN & NICOBAR ISLAND,1970,407.2,564.5,342.9,423.5,1738.1,434.525,199.0,1539.1,1803.2
ANDAMAN & NICOBAR ISLAND,1971,394.6,421.1,327.9,470.2,1613.7,403.45,-124.39999999999986,1738.1,1539.1
ANDAMAN & NICOBAR ISLAND,1972,470.0,544.6,384.9,444.4,1843.9,460.975,230.20000000000005,1613.7,1738.1
ANDAMAN & NICOBAR ISLAND,1973,488.6,371.4,370.3,357.5,1587.8,396.95,-256.10000000000014,1843.9,1613.7
ANDAMAN & NICOBAR ISLAND,1974,343.8,257.1,456.2,321.6,1378.7,344.67500000000007,-209.0999999999999,1587.8,1843.9
ANDAMAN & NICOBAR ISLAND,1975,706.3,173.5,357.4,351.8,1589.0,397.24999999999994,210.29999999999995,1378.7,1587.8
ANDAMAN & NICOBAR ISLAND,1976,441.3,382.0,487.7,387.0,1698.1,424.5,109.09999999999991,1589.0,1378.7
ANDAMAN & NICOBAR ISLAND,1977,339.3,341.1,345.4,467.1,1492.9,373.225,-205.19999999999982,1698.1,1589.0
ANDAMAN & NICOBAR ISLAND,1978,462.2,656.6,346.3,310.8,1775.8,443.97499999999997,282.89999999999986,1492.9,1698.1
ANDAMAN & NICOBAR ISLAND,1979,282.8,455.9,173.6,330.2,1242.5,310.625,-533.3,1775.8,1492.9
ANDAMAN & NICOBAR ISLAND,1980,604.2,575.7,494.4,271.9,1946.2,486.55000000000007,703.7,1242.5,1775.8
ANDAMAN & NICOBAR ISLAND,1981,600.6,344.1,510.6,452.6,1907.9,476.975,-38.299999999999955,1946.2,1242.5
ANDAMAN & NICOBAR ISLAND,1982,448.7,410.5,347.5,369.0,1575.7,393.925,-332.20000000000005,1907.9,1946.2
ANDAMAN & NICOBAR ISLAND,1983,424.3,468.8,493.8,505.5,1892.3,473.1,316.5999999999999,1575.7,1907.9
ANDAMAN & NICOBAR ISLAND,1984,424.9,446.4,125.8,283.6,1280.7,320.17499999999995,-611.5999999999999,1892.3,1575.7
ANDAMAN & NICOBAR ISLAND,1985,588.4,230.9,375.2,362.5,1556.9,389.25,276.20000000000005,1280.7,1892.3
ANDAMAN & NICOBAR ISLAND,1986,312.2,308.5,444.0,408.9,1473.6,368.4,-83.30000000000018,1556.9,1280.7
ANDAMAN & NICOBAR ISLAND,1987,343.7,45.3,666.5,378.8,1434.4,358.575,-39.19999999999982,1473.6,1556.9
ANDAMAN & NICOBAR ISLAND,1988,357.4,495.6,354.2,603.2,1810.4,452.6,376.0,1434.4,1473.6
ANDAMAN & NICOBAR ISLAND,1989,414.8,380.1,413.2,215.9,1424.0,356.00000000000006,-386.4000000000001,1810.4,1434.4
ANDAMAN & NICOBAR ISLAND,1990,291.0,213.2,293.3,310.4,1107.9,276.975,-316.0999999999999,1424.0,1810.4
ANDAMAN & NICOBAR ISLAND,1991,165.7,547.2,494.8,394.8,1602.5,400.625,494.5999999999999,1107.9,1424.0
ANDAMAN & NICOBAR ISLAND,1992,392.0,349.4,335.3,305.8,1382.5,345.625,-220.0,1602.5,1107.9
ANDAMAN & NICOBAR ISLAND,1993,257.1,391.7,226.7,437.0,1312.5,328.125,-70.0,1382.5,1602.5
ANDAMAN & NICOBAR ISLAND,1994,383.5,566.6,459.3,744.1,2153.5,538.375,841.0,1312.5,1382.5
ANDAMAN & NICOBAR ISLAND,1995,450.4,501.4,555.8,426.4,1933.8,483.5,-219.70000000000005,2153.5,1312.5
ANDAMAN & NICOBAR ISLAND,1996,559.1,335.5,327.9,541.6,1764.2,441.025,-169.5999999999999,1933.8,2153.5
ANDAMAN & NICOBAR ISLAND,1997,182.3,670.9,492.2,456.8,1802.3,450.55,38.09999999999991,1764.2,1933.8
ANDAMAN & NICOBAR ISLAND,1998,504.2,385.4,212.7,437.1,1539.4,384.85,-262.89999999999986,1802.3,1764.2
ANDAMAN & NICOBAR ISLAND,1999,295.0,389.3,331.6,381.4,1397.3,349.325,-142.10000000000014,1539.4,1802.3
ANDAMAN & NICOBAR ISLAND,2000,379.5,217.3,491.5,267.8,1356.1,339.025,-41.200000000000045,1397.3,1539.4
ANDAMAN & NICOBAR ISLAND,2001,367.7,304.4,469.0,312.3,1453.4,363.34999999999997,97.30000000000018,1356.1,1397.3
